;pair_id;year;iso3_o;iso3_d;fwd_log_mig;o_sl_uem_totl_zs;o_sp_pop_0014_to_zs;sfi_sfi;pol4_autoc;o_IT_CEL_SETS_P2;o_IT_NET_USER_P2;o_number_weather;o_number_nonweather;mig_stock_tot;o_French;o_Spanish;o_English;d_GDP;d_pop;o_GDP;o_pop;Set
30;174;2004;0;3;7.0509896;12.6;26.647324;4.0;0.0;35.27228837;16.03668411;3;0;9.678758;0.0;0.99;0.0;1128.45;31.995003;204.13399;38.728775;1
31;174;2005;0;3;6.742881;10.6;26.3217;2.0;0.0;57.32899426;17.72058337;1;0;9.678758;0.0;0.99;0.0;1164.1398;32.311996;222.91101;39.14549;1
32;174;2006;0;3;6.431331;10.1;26.007032;2.0;0.0;80.81882641;20.9272021;1;0;9.678758;0.0;0.99;0.0;1194.6699;32.570503;241.642;39.558746;1
33;174;2007;0;3;6.2934194;8.5;25.702198;2.0;0.0;102.7215283;25.94663294;3;0;9.678758;0.0;0.99;0.0;1218.6603;32.887928;260.88998;39.969906;1
34;174;2008;0;3;6.1484685;7.8;25.410353;2.0;0.0;117.2211834;28.11262348;1;1;9.678758;0.0;0.99;0.0;1232.9801;33.245777;268.912;40.381863;1
35;174;2009;0;3;6.1312265;8.6;25.134405;2.0;0.0;131.1294492;34.0;4;2;9.678758;0.0;0.99;0.0;1199.5498;33.628574;269.04706;40.798637;1
36;174;2010;0;3;5.6312118;7.7;24.876331;2.0;0.0;141.383022;45.0;1;0;9.678758;0.0;0.99;0.0;1240.0302;34.005276;294.47595;41.222878;1
37;174;2011;0;3;5.575949;7.2;24.636627;3.0;0.0;149.0906224;51.0;0;1;9.678758;0.0;0.99;0.0;1276.7297;34.342777;319.17194;41.655613;1
38;174;2012;0;3;5.645447;7.2;24.415052;2.0;0.0;156.564756;55.8;3;0;9.678758;0.0;0.99;0.0;1301.2798;34.75431;321.73105;42.09522;1
39;174;2013;0;3;5.370638;7.5;24.233953;1.0;0.0;162.5274217;59.9;2;0;9.678758;0.0;0.99;0.0;1327.3502;35.158306;331.01404;42.5383;2
40;174;2014;0;3;5.4722705;9.678758;9.678758;1.0;0.0;146.4823886;64.7;3;1;9.678758;0.0;0.99;0.0;1360.9602;35.54042;332.56702;42.980026;0
41;175;2009;0;4;5.480639;8.6;25.134405;2.0;0.0;131.1294492;34.0;4;2;9.678758;0.0;0.99;0.0;441.87698;7.7438307;269.04706;40.798637;1
42;175;2010;0;4;5.572154;7.7;24.876331;2.0;0.0;141.383022;45.0;1;0;9.678758;0.0;0.99;0.0;454.92908;7.8249083;294.47595;41.222878;1
43;175;2011;0;4;5.4071717;7.2;24.636627;3.0;0.0;149.0906224;51.0;0;1;1683.0;0.0;0.99;0.0;463.13898;7.912398;319.17194;41.655613;1
44;175;2012;0;4;5.3752785;7.2;24.415052;2.0;0.0;156.564756;55.8;3;0;1687.0;0.0;0.99;0.0;468.276;7.996861;321.73105;42.09522;1
45;175;2013;0;4;5.327876;7.5;24.233953;1.0;0.0;162.5274217;59.9;2;0;1641.0;0.0;0.99;0.0;477.24603;8.089345;331.01404;42.5383;2
46;176;2004;0;5;8.315322;12.6;26.647324;4.0;0.0;35.27228837;16.03668411;3;0;9.678758;0.0;0.99;0.0;117.85201;15.91312;204.13399;38.728775;1
47;176;2005;0;5;8.1656475;10.6;26.3217;2.0;0.0;57.32899426;17.72058337;1;0;9.678758;0.0;0.99;0.0;124.40402;16.09657;222.91101;39.14549;1
48;176;2006;0;5;8.014336;10.1;26.007032;2.0;0.0;80.81882641;20.9272021;1;0;9.678758;0.0;0.99;0.0;129.88397;16.279726;241.642;39.558746;1
49;176;2007;0;5;8.228711;8.5;25.702198;2.0;0.0;102.7215283;25.94663294;3;0;9.678758;0.0;0.99;0.0;136.58699;16.462704;260.88998;39.969906;1
50;176;2008;0;5;8.256348;7.8;25.410353;2.0;0.0;117.2211834;28.11262348;1;1;9.678758;0.0;0.99;0.0;141.08401;16.645943;268.912;40.381863;1
51;176;2009;0;5;8.2445965;8.6;25.134405;2.0;0.0;131.1294492;34.0;4;2;9.678758;0.0;0.99;0.0;139.62198;16.829956;269.04706;40.798637;1
52;176;2010;0;5;8.255829;7.7;24.876331;2.0;0.0;141.383022;45.0;1;0;9.678758;0.0;0.99;0.0;147.65497;17.015047;294.47595;41.222878;1
53;176;2011;0;5;8.498622;7.2;24.636627;3.0;0.0;149.0906224;51.0;0;1;9.678758;0.0;0.99;0.0;156.27803;17.201305;319.17194;41.655613;1
54;176;2012;0;5;8.695339;7.2;24.415052;2.0;0.0;156.564756;55.8;3;0;9.678758;0.0;0.99;0.0;164.80603;17.388435;321.73105;42.09522;1
55;176;2013;0;5;8.794673;7.5;24.233953;1.0;0.0;162.5274217;59.9;2;0;9.678758;0.0;0.99;0.0;171.77097;17.575834;331.01404;42.5383;2
56;176;2014;0;5;8.903679;9.678758;9.678758;1.0;0.0;146.4823886;64.7;3;1;9.678758;0.0;0.99;0.0;175.02501;17.762648;332.56702;42.980026;0
57;177;2004;0;6;2.3025851;12.6;26.647324;4.0;0.0;35.27228837;16.03668411;3;0;9.678758;0.0;0.99;0.0;127.759995;10.197102;204.13399;38.728775;1
58;177;2005;0;6;2.3978953;10.6;26.3217;2.0;0.0;57.32899426;17.72058337;1;0;9.678758;0.0;0.99;0.0;135.99;10.211217;222.91101;39.14549;1
59;177;2006;0;6;3.3672957;10.1;26.007032;2.0;0.0;80.81882641;20.9272021;1;0;9.678758;0.0;0.99;0.0;145.34203;10.238906;241.642;39.558746;1
60;177;2007;0;6;2.5649493;8.5;25.702198;2.0;0.0;102.7215283;25.94663294;3;0;9.678758;0.0;0.99;0.0;153.37802;10.298827;260.88998;39.969906;1
61;177;2008;0;6;2.7080503;7.8;25.410353;2.0;0.0;117.2211834;28.11262348;1;1;9.678758;0.0;0.99;0.0;157.53604;10.384603;268.912;40.381863;1
